Time,Condition,Response,Clicktime
519,arrayAverageTD_B.png,,
520,arrayAverageTD_B.png,,
521,arrayAverageTD_B.png,,
522,arrayAverageTD_B.png,,
523,arrayAverageTD_B.png,,
524,arrayAverageTD_B.png,,
525,arrayAverageTD_B.png,,
526,arrayAverageTD_B.png,,
527,arrayAverageTD_B.png,,
528,arrayAverageTD_B.png,,
529,arrayAverageTD_B.png,,
530,arrayAverageTD_B.png,,
531,arrayAverageTD_B.png,,
532,arrayAverageTD_B.png,,
533,arrayAverageTD_B.png,,
534,arrayAverageTD_B.png,,
535,arrayAverageTD_B.png,,
536,arrayAverageTD_B.png,,
537,arrayAverageTD_B.png,,
538,arrayAverageTD_B.png,,
539,arrayAverageTD_B.png,,
540,arrayAverageTD_B.png,,
541,arrayAverageTD_B.png,,
542,arrayAverageTD_B.png,,
543,arrayAverageTD_B.png,,
544,arrayAverageTD_B.png,,
545,arrayAverageTD_B.png,,
546,arrayAverageTD_B.png,,
547,arrayAverageTD_B.png,,
548,arrayAverageTD_B.png,,
549,arrayAverageTD_B.png,,
550,arrayAverageTD_B.png,,
551,arrayAverageTD_B.png,,
552,arrayAverageTD_B.png,,
553,arrayAverageTD_B.png,,
554,arrayAverageTD_B.png,,
555,arrayAverageTD_B.png,,
556,arrayAverageTD_B.png,,
557,arrayAverageTD_B.png,,
558,arrayAverageTD_B.png,,
559,arrayAverageTD_B.png,,
560,arrayAverageTD_B.png,,
561,arrayAverageTD_B.png,,
562,arrayAverageTD_B.png,,
563,arrayAverageTD_B.png,,
564,arrayAverageTD_B.png,,
565,arrayAverageTD_B.png,,
566,arrayAverageTD_B.png,,
567,arrayAverageTD_B.png,,
568,arrayAverageTD_B.png,,
569,arrayAverageTD_B.png,,
570,arrayAverageTD_B.png,,
571,arrayAverageTD_B.png,,
572,arrayAverageTD_B.png,,
573,arrayAverageTD_B.png,,
574,arrayAverageTD_B.png,,
575,arrayAverageTD_B.png,,
576,arrayAverageTD_B.png,,
577,arrayAverageTD_B.png,,
578,arrayAverageTD_B.png,,
579,arrayAverageTD_B.png,,
580,arrayAverageTD_B.png,,
581,arrayAverageTD_B.png,,
582,arrayAverageTD_B.png,,
583,arrayAverageTD_B.png,,
584,arrayAverageTD_B.png,,
585,arrayAverageTD_B.png,,
586,arrayAverageTD_B.png,,
587,arrayAverageTD_B.png,,
588,arrayAverageTD_B.png,,
589,arrayAverageTD_B.png,,
590,arrayAverageTD_B.png,,
591,arrayAverageTD_B.png,,
592,arrayAverageTD_B.png,,
593,arrayAverageTD_B.png,,
594,arrayAverageTD_B.png,,
595,arrayAverageTD_B.png,,
596,arrayAverageTD_B.png,,
597,arrayAverageTD_B.png,,
598,arrayAverageTD_B.png,,
599,arrayAverageTD_B.png,,
600,arrayAverageTD_B.png,,
601,arrayAverageTD_B.png,,
602,arrayAverageTD_B.png,,
603,arrayAverageTD_B.png,,
604,arrayAverageTD_B.png,,
605,arrayAverageTD_B.png,,
606,arrayAverageTD_B.png,,
607,arrayAverageTD_B.png,,
608,arrayAverageTD_B.png,,
609,arrayAverageTD_B.png,,
610,arrayAverageTD_B.png,,
611,arrayAverageTD_B.png,,
612,arrayAverageTD_B.png,,
613,arrayAverageTD_B.png,,
614,arrayAverageTD_B.png,,
615,arrayAverageTD_B.png,,
616,arrayAverageTD_B.png,,
617,arrayAverageTD_B.png,,
618,arrayAverageTD_B.png,,
619,arrayAverageTD_B.png,,
620,arrayAverageTD_B.png,,
621,arrayAverageTD_B.png,,
622,arrayAverageTD_B.png,,
623,arrayAverageTD_B.png,,
624,arrayAverageTD_B.png,,
625,arrayAverageTD_B.png,,
626,arrayAverageTD_B.png,,
627,arrayAverageTD_B.png,,
628,arrayAverageTD_B.png,,
629,arrayAverageTD_B.png,,
630,arrayAverageTD_B.png,,
631,arrayAverageTD_B.png,,
632,arrayAverageTD_B.png,,
633,arrayAverageTD_B.png,,
634,arrayAverageTD_B.png,,
635,arrayAverageTD_B.png,,
636,arrayAverageTD_B.png,,
637,arrayAverageTD_B.png,,
638,arrayAverageTD_B.png,,
639,arrayAverageTD_B.png,,
640,arrayAverageTD_B.png,,
641,arrayAverageTD_B.png,,
642,arrayAverageTD_B.png,,
643,arrayAverageTD_B.png,,
644,arrayAverageTD_B.png,,
645,arrayAverageTD_B.png,,
646,arrayAverageTD_B.png,,
647,arrayAverageTD_B.png,,
648,arrayAverageTD_B.png,,
649,arrayAverageTD_B.png,,
650,arrayAverageTD_B.png,,
651,arrayAverageTD_B.png,,
652,arrayAverageTD_B.png,,
653,arrayAverageTD_B.png,,
654,arrayAverageTD_B.png,,
655,arrayAverageTD_B.png,,
656,arrayAverageTD_B.png,,
657,arrayAverageTD_B.png,,
658,arrayAverageTD_B.png,,
659,arrayAverageTD_B.png,,
660,arrayAverageTD_B.png,,
661,arrayAverageTD_B.png,,
662,arrayAverageTD_B.png,,
663,arrayAverageTD_B.png,,
664,arrayAverageTD_B.png,,
665,arrayAverageTD_B.png,,
666,arrayAverageTD_B.png,,
667,arrayAverageTD_B.png,,
668,arrayAverageTD_B.png,,
669,arrayAverageTD_B.png,,
670,arrayAverageTD_B.png,,
671,arrayAverageTD_B.png,,
672,arrayAverageTD_B.png,,
673,arrayAverageTD_B.png,,
674,arrayAverageTD_B.png,,
675,arrayAverageTD_B.png,,
676,arrayAverageTD_B.png,,
677,arrayAverageTD_B.png,,
678,arrayAverageTD_B.png,,
679,arrayAverageTD_B.png,,
680,arrayAverageTD_B.png,,
681,arrayAverageTD_B.png,,
682,arrayAverageTD_B.png,,
683,arrayAverageTD_B.png,,
684,arrayAverageTD_B.png,,
685,arrayAverageTD_B.png,,
686,arrayAverageTD_B.png,,
687,arrayAverageTD_B.png,,
688,arrayAverageTD_B.png,,
689,arrayAverageTD_B.png,,
690,arrayAverageTD_B.png,,
691,arrayAverageTD_B.png,,
692,arrayAverageTD_B.png,,
693,arrayAverageTD_B.png,,
694,arrayAverageTD_B.png,,
695,arrayAverageTD_B.png,,
696,arrayAverageTD_B.png,,
697,arrayAverageTD_B.png,,
698,arrayAverageTD_B.png,,
699,arrayAverageTD_B.png,,
700,arrayAverageTD_B.png,,
701,arrayAverageTD_B.png,,
702,arrayAverageTD_B.png,,
703,arrayAverageTD_B.png,,
704,arrayAverageTD_B.png,,
705,arrayAverageTD_B.png,,
706,arrayAverageTD_B.png,,
707,arrayAverageTD_B.png,,
708,arrayAverageTD_B.png,,
709,arrayAverageTD_B.png,,
710,arrayAverageTD_B.png,,
711,arrayAverageTD_B.png,,
712,arrayAverageTD_B.png,,
713,arrayAverageTD_B.png,,
714,arrayAverageTD_B.png,,
715,arrayAverageTD_B.png,,
716,arrayAverageTD_B.png,,
717,arrayAverageTD_B.png,,
718,arrayAverageTD_B.png,,
719,arrayAverageTD_B.png,,
720,arrayAverageTD_B.png,,
721,arrayAverageTD_B.png,,
722,arrayAverageTD_B.png,,
723,arrayAverageTD_B.png,,
724,arrayAverageTD_B.png,,
725,arrayAverageTD_B.png,,
726,arrayAverageTD_B.png,,
727,arrayAverageTD_B.png,,
728,arrayAverageTD_B.png,,
729,arrayAverageTD_B.png,,
730,arrayAverageTD_B.png,,
731,arrayAverageTD_B.png,,
732,arrayAverageTD_B.png,,
733,arrayAverageTD_B.png,,
734,arrayAverageTD_B.png,,
735,arrayAverageTD_B.png,,
736,arrayAverageTD_B.png,,
737,arrayAverageTD_B.png,,
738,arrayAverageTD_B.png,,
739,arrayAverageTD_B.png,,
740,arrayAverageTD_B.png,,
741,arrayAverageTD_B.png,,
742,arrayAverageTD_B.png,,
743,arrayAverageTD_B.png,,
744,arrayAverageTD_B.png,,
745,arrayAverageTD_B.png,,
746,arrayAverageTD_B.png,,
747,arrayAverageTD_B.png,,
748,arrayAverageTD_B.png,,
749,arrayAverageTD_B.png,,
750,arrayAverageTD_B.png,,
751,arrayAverageTD_B.png,,
752,arrayAverageTD_B.png,,
753,arrayAverageTD_B.png,,
754,arrayAverageTD_B.png,,
755,arrayAverageTD_B.png,,
756,arrayAverageTD_B.png,,
757,arrayAverageTD_B.png,,
758,arrayAverageTD_B.png,,
759,arrayAverageTD_B.png,,
760,arrayAverageTD_B.png,,
761,arrayAverageTD_B.png,,
762,arrayAverageTD_B.png,,
763,arrayAverageTD_B.png,,
764,arrayAverageTD_B.png,,
765,arrayAverageTD_B.png,,
766,arrayAverageTD_B.png,,
767,arrayAverageTD_B.png,,
768,arrayAverageTD_B.png,,
769,arrayAverageTD_B.png,,
770,arrayAverageTD_B.png,,
771,arrayAverageTD_B.png,,
772,arrayAverageTD_B.png,,
773,arrayAverageTD_B.png,,
774,arrayAverageTD_B.png,,
775,arrayAverageTD_B.png,,
776,arrayAverageTD_B.png,,
777,arrayAverageTD_B.png,,
778,arrayAverageTD_B.png,,
779,arrayAverageTD_B.png,,
780,arrayAverageTD_B.png,,
781,arrayAverageTD_B.png,,
782,arrayAverageTD_B.png,,
783,arrayAverageTD_B.png,,
784,arrayAverageTD_B.png,,
785,arrayAverageTD_B.png,,
786,arrayAverageTD_B.png,,
787,arrayAverageTD_B.png,,
788,arrayAverageTD_B.png,,
789,arrayAverageTD_B.png,,
790,arrayAverageTD_B.png,,
791,arrayAverageTD_B.png,,
792,arrayAverageTD_B.png,,
793,arrayAverageTD_B.png,,
794,arrayAverageTD_B.png,,
795,arrayAverageTD_B.png,,
796,arrayAverageTD_B.png,,
797,arrayAverageTD_B.png,,
798,arrayAverageTD_B.png,,
799,arrayAverageTD_B.png,,
800,arrayAverageTD_B.png,,
801,arrayAverageTD_B.png,,
802,arrayAverageTD_B.png,,
803,arrayAverageTD_B.png,,
804,arrayAverageTD_B.png,,
805,arrayAverageTD_B.png,,
806,arrayAverageTD_B.png,,
807,arrayAverageTD_B.png,,
808,arrayAverageTD_B.png,,
809,arrayAverageTD_B.png,,
810,arrayAverageTD_B.png,,
811,arrayAverageTD_B.png,,
812,arrayAverageTD_B.png,,
813,arrayAverageTD_B.png,,
814,arrayAverageTD_B.png,,
815,arrayAverageTD_B.png,,
816,arrayAverageTD_B.png,,
817,arrayAverageTD_B.png,,
818,arrayAverageTD_B.png,,
