Time,EyeTracking_X,EyeTracking_Y,Gaze
552,535.85,495.12,1
553,536.96,494.58,1
554,537.06,490.86,1
555,537.76,493.16,1
556,536.33,493.84,1
557,536.21,493.76,1
558,535.43,493.65,1
559,536.43,496.21,1
560,538.27,494.75,1
561,537.65,491.76,1
562,556.03,494.06,1
563,643.12,507.93,1
564,684.13,512.63,0
565,706.53,516.41,0
566,697.91,515.96,0
567,697.55,516.51,0
568,700.78,514.75,0
569,701.33,515.73,0
570,699.7,520.18,0
571,700.77,520.18,0
572,700.89,520.08,0
573,701.85,519.02,1
574,700.35,520.18,1
575,701.03,521.44,1
576,700.75,519.52,1
577,700.97,516.58,1
578,699.55,518.4,1
579,700.32,518.9,1
580,701.09,519.89,1
581,700.86,520.65,1
582,700.23,522.14,1
583,699.31,519.66,1
584,700.22,522.5,1
585,700.12,521.05,1
586,699.24,520.78,1
587,700.24,520.67,1
588,706.3,522.94,1
589,742.24,535.43,1
590,739.84,537.45,1
591,749.43,537.9,1
592,748.34,537.56,1
593,747.01,537.13,1
594,745.52,537.45,1
595,746.87,538.89,1
596,746.26,538.81,1
597,747,537.14,1
598,746.68,537.85,1
599,746.94,537.03,1
600,747.58,538.2,1
601,747.62,537.48,1
602,747.6,536.41,1
603,747.43,537.84,1
604,745.86,537.99,1
605,746.55,537.33,1
606,746.58,538.11,1
607,746.22,539.05,1
608,747.25,539.95,1
609,747.96,537.98,1
610,747.27,538.22,1
611,746.25,537.46,1
612,747.09,536.93,1
613,746.58,538.76,1
614,745.83,540.05,1
615,747.45,540,1
616,747.25,539.86,1
617,747.11,537.24,1
618,747.38,537.56,1
619,747.5,539.79,1
620,746.95,536.43,1
621,746.17,537.57,1
622,747.38,540.38,1
623,748.48,538.44,1
624,729.47,537.46,1
625,635.48,537.03,1
626,597.81,536.54,1
627,605.48,538.33,1
628,610.32,540.51,1
629,606.5,541.27,1
630,605.47,538.22,1
631,605.86,536.92,1
632,604.86,535.27,1
633,604.53,534.56,1
634,606.07,535.62,1
635,606.87,535.35,1
636,607.78,534.93,1
637,606.21,538.03,1
638,606.76,542.14,1
639,604.76,540.06,1
640,604.7,540.96,1
641,605.72,538,1
642,605.19,539.27,1
643,605.13,539.73,1
644,604.87,540.91,1
645,606.39,540.66,1
646,605.31,538.22,1
647,605.84,539.95,1
648,604.7,537.57,1
649,604.9,539.15,1
650,604.17,537.43,1
651,605.2,536.75,1
652,604.89,535.47,1
653,605.66,535.64,1
654,603.34,534.96,1
655,605.31,535.85,1
656,605.43,535.25,1
657,596.65,537.66,1
658,534.91,541.65,1
659,530.38,540.27,1
660,540.77,542.43,1
661,539.11,544.42,1
662,538.32,545.67,1
663,538.02,545.81,1
664,537.35,546.45,1
665,538.05,544.41,1
666,537.49,543.13,1
667,537.33,542.69,1
668,537.23,542.91,1
669,538.67,546.57,1
670,537.15,544.02,1
671,538.41,547.46,1
672,536.35,545.84,1
673,538.18,546.6,1
674,540.62,546.97,1
675,539.74,547.93,1
676,538.25,545.64,1
677,538.43,544.34,1
678,539.8,544.34,1
679,540.06,543.55,1
680,539.44,541.85,1
681,539.23,541.95,1
682,540.5,540.51,1
683,539.51,542.5,1
684,540.66,540.98,1
685,542.26,543.69,1
686,541.32,543.11,1
687,540.86,542.93,1
688,539.48,543.54,1
689,539.82,542.89,1
690,539.42,542.64,1
691,539.01,541.81,1
692,516.43,546.6,1
693,499.59,550.82,1
694,508.29,553,1
695,507,554.54,1
696,508,554.69,1
697,508.6,554.58,1
698,509.96,554.18,1
699,510.03,554.3,1
700,509.14,553.59,1
701,508.98,552.82,1
702,510.01,554.56,1
703,511.44,554.72,1
704,509.05,554.85,1
705,509.37,555.67,1
706,509.82,556.73,1
707,511.45,556.77,1
708,511.85,554.27,1
709,511.97,553.06,1
710,511.69,553.97,1
711,510.03,554.62,1
712,512.29,554.91,1
713,513.72,553.24,1
714,551.26,507.07,1
715,599.06,362.06,1
716,648.97,252.86,0
717,676.39,210.87,0
